"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"8 mar 2025 20:34:46 UTC","24375431612","Ordine","406-5696032-1425905","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Bassano del Grappa","Vicenza","36061","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"8 mar 2025 22:51:26 UTC","24375431612","Ordine","405-5900871-6624349","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Castelfranco Emilia","Modena","41013","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"10 mar 2025 00:02:05 UTC","24375431612","Ordine","407-9066056-4646758","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","ferentino","frosinone","03013","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"10 mar 2025 00:06:13 UTC","24375431612","Ordine","407-3578436-3100307","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Milano","Milano","20141","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"10 mar 2025 22:43:45 UTC","24415051882","Trasferimento","","","Per il conto che termina con: 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-48,83","-48,83"
"11 mar 2025 20:07:12 UTC","24415051882","Ordine","408-8621833-4518750","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Bologna","BO","40141","MarketplaceFacilitator","12,45","2,74","0,66","0,14","0","0","-3,15","-0,69","-2,19","-1,82","-5,05","-0,04","0","3,05"
"11 mar 2025 20:23:06 UTC","24415051882","Ordine","406-0283324-3097105","EPR-EU1G","EPRESINART Resina Epossidica Trasparente Kit Principianti,3785ml 1:1 Resina Epoxy con Indurente per Creazi,Fai da Te, Legno, Decorazioni","1","amazon.it","Amazon","Deruta","Perugia","06053","MarketplaceFacilitator","51,39","11,30","0","0","0","0","0","0","-11,30","-8,15","-7,25","-0,16","0","35,83"
"11 mar 2025 22:13:35 UTC","24415051882","Ordine","404-1843097-0509121","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Torino","Torino","10136","MarketplaceFacilitator","20,11","4,43","0","0","0","0","-4,02","-0,89","-7,08","-5,88","-9,38","-0,12","0","-2,83"
"11 mar 2025 22:13:35 UTC","24415051882","Ordine","404-1843097-0509121","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Torino","Torino","10136","","20,11","4,43","0","0","0","0","-4,02","-0,89","0","0","-9,38","0","0","10,25"
"12 mar 2025 00:04:46 UTC","24415051882","Ordine","408-9478292-3277953","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","CIMOLAIS","Pordenone","33080","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
"12 mar 2025 22:41:46 UTC","24430737612","Trasferimento","","","Per il conto che termina con: 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-55,46","-55,46"
"13 mar 2025 21:42:32 UTC","24430737612","Ordine","402-7204076-4858764","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Ora","Bolzano","39040","MarketplaceFacilitator","12,45","2,74","1,09","0,24","0","0","-3,58","-0,79","-2,19","-1,82","-5,05","-0,04","0","3,05"
"13 mar 2025 22:54:23 UTC","24430737612","Ordine","403-3907895-8465162","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Barano D'ischia","NA","80072","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"13 mar 2025 23:25:34 UTC","24430737612","Ordine","402-8463867-1544336","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Monreale","PALERMO","90046","MarketplaceFacilitator","20,24","4,45","0","0","0","0","0","0","-4,45","-3,21","-9,38","-0,06","0","7,59"
"14 mar 2025 20:49:04 UTC","24445344602","Ordine","406-1239117-8221155","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Balangero","Torino","10070","MarketplaceFacilitator","20,24","4,45","0","0","0","0","0","0","-4,45","-3,21","-9,38","-0,06","0","7,59"
"14 mar 2025 22:21:38 UTC","24445344602","Trasferimento","","","Per il conto che termina con: 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13,69","-13,69"
