"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/01 7:34:32 JST","11972516293","注文","250-1385840-3750230","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","東京都","150-000","","2,255","225","0","0","0","0","-25","0","0","0","-270","-318","0","0","1,867"
"2025/03/01 8:59:41 JST","11972516293","注文","503-7848979-1845450","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","佐賀県","840-085","","2,255","225","418","42","0","0","-25","0","0","0","-270","-778","0","0","1,867"
"2025/03/01 9:12:59 JST","11972516293","注文","503-8119815-6500620","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","神奈川県","252-023","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/01 10:35:33 JST","11972516293","注文","S03-9554163-1201405","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂硬化用大型 UV ランプ DIY クラフト装飾 ジュエリー作り 分割使用可能 デジタル表示タイマー(バイザーが付属しています)","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","兵庫県","651-214","","0","0","0","0","0","0","0","0","0","0","0","-678","0","0","-678"
"2025/03/01 11:08:18 JST","11972516293","注文","249-8908360-5795821","L7-L4CC-G9SC","BUTIRESIN レジン液 大容量 360g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","大阪府","555-001","","2,073","207","0","0","0","0","-23","0","0","0","-136","-318","0","0","1,803"
"2025/03/01 14:36:04 JST","11972516293","注文","S03-4797103-2470255","HX-Z4LY-YK5N","BUTIRESIN エポキシ樹脂 16oz/474ml 二液性レジン液 体積比1:1 大容量エポキシレジン液 ハードタイプ 操作簡単 レジンアートレジンアクセサリー ハンドメイド DIY 手芸用品","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","北海道","085-081","","0","0","0","0","0","0","0","0","0","0","0","-652","0","0","-652"
"2025/03/01 15:32:44 JST","11972516293","注文","250-6694209-4516633","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","大阪府","562-003","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 16:15:14 JST","11972516293","注文","S03-1864819-9387002","BUTI-UV-0617-02","ButiResin レジン液 500g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジンアート","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","福岡県","811-011","","0","0","0","0","0","0","0","0","0","0","0","-672","0","0","-672"
"2025/03/01 17:09:07 JST","11972516293","注文","250-7116347-9707008","BUTI-UV-0617-02","ButiResin レジン液 500g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","愛知県","491-085","","3,113","311","0","0","0","0","-43","-311","-31","0","-456","-455","0","0","2,128"
"2025/03/01 18:44:40 JST","11972516293","注文","503-1556249-1322221","AB-0721","ButiResin エポキシ樹脂 二液性レジン液 大容量 1 gallon/4.3 kg エポキシレジン 2液性レジン液 ハードタイプ セルフレ","1","amazon.jp","Amazon","","静岡県","437-006","","8,181","818","0","0","0","0","-90","-727","-73","0","-892","-514","0","0","6,703"
"2025/03/01 19:02:58 JST","11972516293","注文","249-2628213-5011851","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","福岡県","836-000","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 19:32:37 JST","11972516293","注文","503-2536209-6803059","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","3","amazon.jp","Amazon","","神奈川県","252-015","","6,764","676","0","0","0","0","-75","-455","-45","0","-754","-954","0","0","5,157"
"2025/03/01 19:34:26 JST","11972516293","注文","503-4006387-7359815","AB-0721","ButiResin エポキシ樹脂 二液性レジン液 大容量 1 gallon/4.3 kg エポキシレジン 2液性レジン液 ハードタイプ セルフレ","1","amazon.jp","Amazon","","埼玉県","343-004","","8,181","818","0","0","0","0","-90","-727","-73","0","-892","-514","0","0","6,703"
"2025/03/01 21:02:49 JST","11972516293","注文","249-1795782-5709452","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","静岡県","432-803","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 21:17:50 JST","11972516293","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-51,953","0","-51,953"
"2025/03/01 21:19:22 JST","11972516293","注文","249-5867824-6403026","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","鹿児島県","891-010","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/01 22:08:37 JST","11972516293","注文","503-5793768-7989403","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","山形県","999-378","","6,891","689","0","0","0","0","-76","0","0","0","-450","-485","0","0","6,569"
"2025/03/01 22:25:41 JST","11972516293","注文","249-6953639-6891029","AB-0721","ButiResin エポキシ樹脂 二液性レジン液 大容量 1 gallon/4.3 kg エポキシレジン 2液性レジン液 ハードタイプ セルフレ","1","amazon.jp","Amazon","","沖縄県","901-031","","8,181","818","0","0","0","0","-90","-1,545","-155","0","-793","-514","0","0","5,902"
"2025/03/01 22:39:39 JST","11972516293","注文","249-7804501-6033400","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","青森県","039-460","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 22:52:21 JST","11972516293","注文","250-6665652-2767038","NZ-WXWN-8YU7","ButiResinレジン1000g UVレジン液 大容量 ハードタイプ UV-LED対応 高い透明度 急速硬化 黄ばみなし DIY レジンアート �","2","amazon.jp","Amazon","","兵庫県","661-095","","12,725","1,273","0","0","0","0","-140","0","0","0","-832","-930","0","0","12,096"
"2025/03/01 23:55:58 JST","11972516293","注文","503-6111346-0821455","BUTI-UV-0617-02","ButiResin レジン液 500g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","兵庫県","669-656","","3,891","389","0","0","0","0","-43","-844","-84","0","-364","-455","0","0","2,490"
"2025/03/02 0:39:47 JST","11972516293","注文","503-0678934-2923858","6J-VGPE-Z83Y","BUTIRESIN レジン液 大容量 500g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","神奈川県","213-003","","3,891","389","418","42","0","0","-43","-418","-42","0","-255","-455","0","0","3,527"
"2025/03/02 0:51:24 JST","11972516293","注文","250-0182343-7912670","L7-L4CC-G9SC","BUTIRESIN レジン液 大容量 360g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","埼玉県","335-003","","2,073","207","0","0","0","0","-23","0","0","0","-136","-318","0","0","1,803"
"2025/03/02 2:48:14 JST","11972516293","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-14,351","0","-14,351"
"2025/03/02 4:18:31 JST","11972516293","注文外料金","2c306ca2-95d2-47c8-b462-fdc005aa4053","","クーポン償還手数料: ¥1500の割引 uv ライト レジン用","6","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-360","0","-360"
"2025/03/02 4:28:38 JST","11972516293","注文外料金","c12e2fd2-e21e-496a-9bb9-50bd4020dbec","","クーポン償還手数料: ¥500の割引 UVレジン 300G","4","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-240","0","-240"
"2025/03/02 4:39:16 JST","11972516293","注文外料金","af4a30ce-f798-4819-b5b5-c69a3d80f5ec","","クーポン償還手数料: ¥500の割引 UVレジン 500G","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/02 4:44:08 JST","11972516293","注文外料金","d55a8068-6357-44d8-93a3-e15637f74c13","","クーポン償還手数料: ¥800の割引 エポキシ樹脂 1 gallon","3","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-180","0","-180"
"2025/03/02 5:39:06 JST","11972516293","注文","503-2831146-2527010","QL-FUUK-M0K0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60s、180s、300s) 48 個の LED 48W 付き レジン ライト 360 度サラウ�","1","amazon.jp","Amazon","","広島県","739-042","","7,800","780","0","0","0","0","-86","-1,364","-136","0","-769","-485","0","0","5,740"
