"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"10 mar 2025 0:10:36 UTC","24402118732","Pedido","407-1926386-4773933","9W-G2D2-1J3T","BUTIRESIN Juego de Resina Epoxi, 32oz/948ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento","1","amazon.es","Amazon","LLoret de Mar","Girona","17310","MarketplaceFacilitator","20,28","4,26","0","0","0","0","-4,06","-0,85","-3,41","-2,94","-4,31","-0,06","0","8,91"
"10 mar 2025 20:55:44 UTC","24402118732","Pedido","406-2093080-7963531","EPO-110116","EPRESINART Juego de Resina Epoxi, 18oz/532ml Resina Epoxi No Tóxica, Juego de Resina Epoxi Transparente, Proporción 1:1 Resina Epoxi para Madera, Ar","1","amazon.es","Amazon","Vilassar de Mar","Barcelona","08340","MarketplaceFacilitator","13,21","2,78","0","0","0","0","0","0","-2,78","-2,08","-8,55","-0,04","0","2,54"
"11 mar 2025 21:29:26 UTC","24402118732","Pedido","405-0095954-0753150","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Ciutadella de Menorca","Islas Baleares","07769","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"11 mar 2025 21:38:56 UTC","24402118732","Pedido","405-4087465-3591527","9W-G2D2-1J3T","BUTIRESIN Juego de Resina Epoxi, 32oz/948ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento","1","amazon.es","Amazon","Rivas Vaciamadrid","Madrid","28521","MarketplaceFacilitator","20,28","4,26","3,30","0,69","0","0","-4,06","-0,85","-4,10","-2,94","-7,61","-0,06","0","8,91"
"11 mar 2025 22:15:35 UTC","24402118732","Pedido","404-7912344-8106764","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Salou","Tarragona","43840","MarketplaceFacilitator","18,05","3,79","0","0","0","0","0","0","-3,79","-2,84","-9,38","-0,06","0","5,77"
"12 mar 2025 21:30:49 UTC","24402118732","Pedido","171-4179632-7897155","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","VIGO","Pontevedra","36208","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-8,55","-0,04","0","-0,40"
"12 mar 2025 22:19:33 UTC","24402118732","Pedido","403-4192633-7908301","9W-G2D2-1J3T","BUTIRESIN Juego de Resina Epoxi, 32oz/948ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento","1","amazon.es","Amazon","Badalona","Barcelona","08918","MarketplaceFacilitator","20,28","4,26","0","0","0","0","-4,06","-0,85","-3,41","-2,94","-4,31","-0,06","0","8,91"
"14 mar 2025 18:36:04 UTC","24402118732","Pedido","408-1428230-2092350","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Alagòn","Zaragoza","50630","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-8,55","-0,04","0","-0,40"
"14 mar 2025 22:11:14 UTC","24402118732","Pedido","405-9670780-8383565","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Torreblanca","Castellon","12596","MarketplaceFacilitator","18,05","3,79","0","0","0","0","0","0","-3,79","-2,84","-9,38","-0,06","0","5,77"
"15 mar 2025 0:13:04 UTC","24402118732","Pedido","404-8039270-7900302","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Pilar de la Horadada","Alicante","03190","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-8,55","-0,04","0","-0,40"
"15 mar 2025 22:31:08 UTC","24402118732","Pedido","407-9884104-2505117","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","sevilla","sevilla","41008","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-8,55","-0,04","0","-0,40"
"15 mar 2025 23:47:13 UTC","24402118732","Pedido","405-3238074-0627557","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Benidorm","Alicante","03501","MarketplaceFacilitator","12,51","2,63","3,30","0,69","0","0","-2,50","-0,53","-2,79","-1,82","-11,90","-0,04","0","-0,45"
"17 mar 2025 20:35:28 UTC","24415096972","Pedido","407-9057941-1269158","EPR-EU1G","EPRESINART Resina Epoxi, 3785ml Resina Epoxi No Tóxica, 1:1 Epoxy Resina Transparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejo","1","amazon.es","Amazon","Fuenlabrada","Madrid","28941","MarketplaceFacilitator","52,88","11,11","0,55","0,11","0","0","-0,55","-0,11","-11,11","-8,32","-7,02","-0,17","0","37,37"
"17 mar 2025 21:19:19 UTC","24415096972","Pedido","403-9795109-2191517","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Orihuela","Alicante","03311","MarketplaceFacilitator","19,83","4,16","0","0","0","0","0","0","-4,16","-3,12","-3,95","-0,06","0","12,70"
"17 mar 2025 22:01:48 UTC","24415096972","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-12,78","-12,78"
"17 mar 2025 22:53:32 UTC","24415096972","Pedido","408-2456051-3201910","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Calahorra","La Rioja","26500","MarketplaceFacilitator","18,05","3,79","1,10","0,23","0","0","-1,10","-0,23","-3,79","-2,84","-9,38","-0,06","0","5,77"
"17 mar 2025 23:28:21 UTC","24415096972","Pedido","408-9695302-0946747","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Cabanas","A CORUÑA","15839","MarketplaceFacilitator","18,05","3,79","0","0","0","0","0","0","-3,79","-2,84","-9,38","-0,06","0","5,77"
"18 mar 2025 18:22:19 UTC","24415096972","Pedido","408-4207666-1253913","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Torremanzanas","Alicante","03108","MarketplaceFacilitator","14,04","2,95","0","0","0","0","-2,81","-0,59","-2,36","-2,04","-8,55","-0,04","0","0,60"
"18 mar 2025 21:18:27 UTC","24415096972","Pedido","407-2726328-7829110","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Granada","Trasmulas","18328","MarketplaceFacilitator","14,04","2,95","0","0","0","0","-2,81","-0,59","-2,36","-2,04","-8,55","-0,04","0","0,60"
"19 mar 2025 23:52:06 UTC","24415096972","Pedido","407-4245539-7691501","LZ-1BCI-EQUM","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Povoa da galega","Lisboa","","","24,36","0","0,50","0","0","0","-0,50","0","0","-3,77","-9,38","-0,08","0","11,13"
"19 mar 2025 23:59:03 UTC","24415096972","Pedido","408-8085603-2796358","LZ-1BCI-EQUM","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","bera","nafarroa","31780","MarketplaceFacilitator","22,31","4,68","1,65","0,35","0","0","-1,65","-0,35","-4,68","-3,51","-9,38","-0,07","0","9,35"
"20 mar 2025 20:17:56 UTC","24415096972","Pedido","406-0817022-5821149","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Ribes de freser","Girona","17534","MarketplaceFacilitator","19,00","3,99","0","0","0","0","0","0","-3,99","-2,99","-9,38","-0,06","0","6,57"
"20 mar 2025 23:16:49 UTC","24415096972","Pedido","407-1174921-4669900","LZ-1BCI-EQUM","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Durango","Bizcaya","48200","MarketplaceFacilitator","22,31","4,68","0","0","0","0","0","0","-4,68","-3,51","-9,38","-0,07","0","9,35"
"21 mar 2025 19:54:40 UTC","24476473572","Pedido","402-1276199-7483556","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Barcelona","Barcelona","08020","MarketplaceFacilitator","19,00","3,99","0","0","0","0","0","0","-3,99","-2,99","-9,38","-0,06","0","6,57"
"21 mar 2025 21:48:03 UTC","24476473572","Pedido","408-9754231-9163537","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Segur de calafell","Tarragona","43882","MarketplaceFacilitator","13,34","2,80","0","0","0","0","-2,67","-0,56","-2,24","-1,94","-4,05","-0,04","0","4,64"
"21 mar 2025 22:42:23 UTC","24476473572","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-99,21","-99,21"
"23 mar 2025 20:49:31 UTC","24476473572","Pedido","406-5171230-7943543","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Roda de Eresma","Castilla Y León","40290","MarketplaceFacilitator","19,00","3,99","3,30","0,69","0","0","0","0","-4,68","-2,99","-12,62","-0,06","0","6,63"
"24 mar 2025 19:31:28 UTC","24506323122","Pedido","406-1169756-2467559","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Pombal","Leiria","","MarketplaceFacilitator","14,04","3,23","0","0","0","0","-2,80","-0,65","-2,58","-2,07","-4,05","-0,04","0","5,08"
"24 mar 2025 21:59:27 UTC","24506323122","Pedido","408-9659079-0294730","EPR-EU1G","EPRESINART Resina Epoxi, 3785ml Resina Epoxi No Tóxica, 1:1 Epoxy Resina Transparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejo","1","amazon.es","Amazon","Casinos","","46171","MarketplaceFacilitator","50,24","10,55","3,30","0,69","0","0","-3,30","-0,69","-10,55","-7,90","-7,02","-0,16","0","35,16"
"24 mar 2025 22:01:49 UTC","24506323122","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-17,84","-17,84"
"24 mar 2025 22:07:09 UTC","24506323122","Pedido","406-6132383-4753148","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Barcelona","Barcelona","08034","MarketplaceFacilitator","18,83","3,96","0","0","0","0","0","0","-3,96","-2,96","-3,95","-0,06","0","11,86"
"24 mar 2025 22:58:53 UTC","24506323122","Pedido","403-3510340-8977164","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Orihuela","Alicante","03311","MarketplaceFacilitator","18,83","3,96","0","0","0","0","0","0","-3,96","-2,96","-3,95","-0,06","0","11,86"
"26 mar 2025 23:45:12 UTC","24506323122","Pedido","406-1627287-6701166","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Cerdanyola Del Valles","Barcelona","08290","MarketplaceFacilitator","13,34","2,80","0","0","0","0","-2,67","-0,56","-2,24","-1,94","-4,05","-0,04","0","4,64"
"28 mar 2025 21:55:38 UTC","24520716722","Pedido","405-7316187-0299533","LZ-1BCI-EQUM","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","5","amazon.es","Amazon","Roda de Bara","Tarragona","43883","","107,75","0","0","0","0","0","0","0","0","-16,65","-46,90","-0,33","0","43,87"
"28 mar 2025 23:46:02 UTC","24520716722","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-68,60","-68,60"
"28 mar 2025 23:58:46 UTC","24520716722","Pedido","403-3267027-5933912","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","SANTA CRUZ DE BEZANA","Cantabria","39100","MarketplaceFacilitator","18,05","3,79","0","0","0","0","0","0","-3,79","-2,84","-9,38","-0,06","0","5,77"
"31 mar 2025 16:54:57 UTC","24520716722","Pedido","402-1891130-4894757","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","ALCOCHETE","ALCOCHETE","","MarketplaceFacilitator","18,83","4,33","0,81","0,19","0","0","-0,81","-0,19","-8,66","-5,92","-3,95","-0,12","0","4,51"
