"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"4 mars 2025 13:10:24 UTC","24375704212","Commande","407-7110912-3438754","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Istres","France","13800","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"4 mars 2025 20:25:12 UTC","24375704212","Commande","171-1775545-1645106","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","ploumoguer","","29810","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"4 mars 2025 20:38:26 UTC","24375704212","Commande","402-9594662-7057965","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Notre dame de bellecombe","","73590","MarketplaceFacilitator","22,56","4,51","0","0","0","0","-1,13","-0,22","-4,29","-3,34","-5,97","-0,19","0","11,93"
"4 mars 2025 21:43:29 UTC","24375704212","Commande","407-1569600-6197167","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Monestier","","03140","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"4 mars 2025 22:03:57 UTC","24375704212","Commande","405-2035755-4209958","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Etoges","","51270","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"4 mars 2025 22:16:13 UTC","24375704212","Commande","406-1195699-3298748","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Le Cannet","","06110","MarketplaceFacilitator","55,41","11,08","0","0","0","0","-5,54","-1,11","-9,97","-7,78","-9,67","-0,35","0","32,07"
"4 mars 2025 22:51:19 UTC","24375704212","Commande","403-2905155-6982752","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","plaisir","","78370","MarketplaceFacilitator","24,99","5,00","1,11","0,22","0","0","-1,11","-0,22","-5,00","-3,90","-5,97","-0,20","0","14,92"
"4 mars 2025 22:53:09 UTC","24375704212","Commande","408-5545231-6565156","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","OISSERY","","77178","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 20:20:52 UTC","24390411322","Commande","408-3833756-0904312","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","Hyères","","83400","MarketplaceFacilitator","15,82","3,17","0","0","0","0","0","0","-3,17","-2,47","-8,55","-0,22","0","4,58"
"5 mars 2025 20:21:30 UTC","24390411322","Commande","404-2340167-1802759","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","montivilliers","","76290","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 20:41:30 UTC","24390411322","Commande","403-8607574-1635533","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Paris","","75012","MarketplaceFacilitator","55,41","11,08","0","0","0","0","0","0","-11,08","-8,64","-9,67","-0,36","0","36,74"
"5 mars 2025 20:51:01 UTC","24390411322","Commande","402-4462437-1744313","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","St Gilles Les Bois","","22290","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 21:10:02 UTC","24390411322","Commande","171-4055092-6045908","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","orly","","94310","MarketplaceFacilitator","23,74","4,75","0","0","0","0","-1,18","-0,24","-4,51","-3,52","-5,97","-0,19","0","12,88"
"5 mars 2025 21:15:05 UTC","24390411322","Commande","403-8666667-9036330","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Comblessac","","35330","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 21:38:34 UTC","24390411322","Commande","408-0668479-9197916","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Boulogne Sur Mer","","62200","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 21:42:37 UTC","24390411322","Commande","403-6061481-2206744","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","2","amazon.fr","Amazon","Lille","","59800","MarketplaceFacilitator","45,12","9,02","0","0","0","0","0","0","-9,02","-7,04","-11,94","-0,38","0","25,76"
"5 mars 2025 21:44:36 UTC","24390411322","Commande","403-0151652-1181174","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Grand-Reng","","6560","MarketplaceFacilitator","55,41","11,64","0","0","0","0","0","0","-11,64","-8,64","-9,67","-0,36","0","36,74"
"5 mars 2025 21:57:19 UTC","24390411322","Commande","404-9929675-2284328","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Sailly Labourse","","62113","MarketplaceFacilitator","55,41","11,08","0","0","0","0","0","0","-11,08","-8,64","-9,67","-0,36","0","36,74"
"5 mars 2025 22:11:04 UTC","24390411322","Commande","408-9988259-7713166","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","plouaret","","22420","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"5 mars 2025 22:42:42 UTC","24390411322","Transfert","","","Sur le compte se terminant par : 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-223,81","-223,81"
"5 mars 2025 22:52:58 UTC","24390411322","","a37961c8-c9c4-4983-9053-da010b9c39f1","","促销-2025/02/06 8-48-36-964","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","-40,00","0","-40,00"
"5 mars 2025 23:08:40 UTC","24390411322","Commande","403-8277854-1449124","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","St Just En Chaussee","","60130","MarketplaceFacilitator","15,82","3,17","3,32","0,67","0","0","0","0","-3,84","-2,47","-11,79","-0,28","0","4,60"
"5 mars 2025 23:36:37 UTC","24390411322","Commande","406-4882717-6385927","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Roquebrune Cap Martin","","06190","MarketplaceFacilitator","55,41","11,08","0","0","0","0","0","0","-11,08","-8,64","-9,67","-0,36","0","36,74"
"5 mars 2025 23:43:01 UTC","24390411322","Commande","171-0276599-2524357","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Marcoussis","","91460","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"6 mars 2025 14:19:50 UTC","24390411322","Commande","405-1873913-7193928","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","chateauroux les alpes","","05380","MarketplaceFacilitator","55,41","11,08","0","0","0","0","-5,54","-1,11","-9,97","-7,78","-9,67","-0,35","0","32,07"
"6 mars 2025 20:33:09 UTC","24390411322","Commande","171-7564896-1509108","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","LE FLEIX","","24130","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"6 mars 2025 20:37:06 UTC","24390411322","Commande","402-9883496-9101968","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Notre dame de bellecombe","","73590","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"6 mars 2025 20:46:02 UTC","24390411322","Commande","171-9750236-2062700","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.fr","Amazon","Mairieux","","59600","MarketplaceFacilitator","22,63","4,53","0","0","0","0","0","0","-4,53","-3,53","-9,38","-0,26","0","9,46"
"6 mars 2025 21:10:26 UTC","24390411322","Commande","402-4158787-2383515","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","tilleul dame agnes","","27170","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"6 mars 2025 22:03:15 UTC","24390411322","Commande","171-3061579-9645140","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Pléneuf val André","","22370","MarketplaceFacilitator","24,99","5,00","0","0","0","0","0","0","-5,00","-3,90","-5,97","-0,20","0","14,92"
"6 mars 2025 22:17:04 UTC","24390411322","Commande","404-1325600-8747549","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Puiseux en France","","95380","MarketplaceFacilitator","55,41","11,08","0,47","0,10","0","0","-0,47","-0,10","-11,08","-8,64","-9,67","-0,36","0","36,74"
"6 mars 2025 23:22:38 UTC","24390411322","Commande","405-3078162-7613958","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.fr","Amazon","Suce Sur Erdre","","44240","MarketplaceFacilitator","22,63","4,53","0","0","0","0","0","0","-4,53","-3,53","-9,38","-0,26","0","9,46"
