"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/02 6:28:07 JST","11972502343","注文","503-2333060-4508616","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","鹿児島県","891-710","","3,545","354","418","42","0","0","-39","-873","-87","0","-504","-465","0","0","2,391"
"2025/03/02 8:46:25 JST","11972502343","注文","250-6412294-8928615","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","神奈川県","245-006","","3,545","354","0","0","0","0","-39","0","0","0","-579","-465","0","0","2,816"
"2025/03/02 8:50:30 JST","11972502343","注文","249-3777107-4403012","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","兵庫県","664-086","","1,440","144","0","0","0","0","-20","-144","-14","0","-211","-318","0","0","877"
"2025/03/02 8:50:47 JST","11972502343","注文","503-4682729-5827800","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","兵庫県","669-223","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
"2025/03/02 10:37:35 JST","11972502343","注文","250-2280231-9012605","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","長野県","387-002","","2,255","226","0","0","0","0","-25","-91","-9","0","-944","-318","0","0","1,094"
"2025/03/02 10:37:35 JST","11972502343","注文","250-2280231-9012605","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","3","amazon.jp","Amazon","","長野県","387-002","","6,763","676","0","0","0","0","-75","-273","-27","0","0","-954","0","0","6,110"
"2025/03/02 13:09:03 JST","11972502343","注文","250-7710659-0015035","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","神奈川県","240-004","","3,545","354","0","0","0","0","-39","0","0","0","-579","-465","0","0","2,816"
"2025/03/02 14:22:01 JST","11972502343","注文","250-2455049-2558221","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","岩手県","027-050","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/02 15:56:48 JST","11972502343","注文","250-8025088-2990244","GK-WSB2-NHZD","YOBTOP レジン液 2液性レジン液 大容量 474ml/16oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","大阪府","547-001","","2,090","209","0","0","0","0","-23","0","0","0","-341","-455","0","0","1,480"
"2025/03/02 18:33:17 JST","11972502343","返金","249-9961889-3685450","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","大阪府","573-015","","-1,636","-163","-139","-14","0","0","18","303","30","0","144","0","0","0","-1,457"
"2025/03/02 18:43:35 JST","11972502343","注文","503-9368670-0754210","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","北海道","070-003","","1,635","164","0","0","0","0","-18","-164","-16","0","-160","-318","0","0","1,123"
"2025/03/02 21:30:48 JST","11972502343","注文","249-7338538-7207803","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","長野県","390-022","","1,800","180","0","0","0","0","-20","0","0","0","-294","-318","0","0","1,348"
"2025/03/02 22:12:03 JST","11972502343","注文","503-0481528-4744664","GK-WSB2-NHZD","YOBTOP レジン液 2液性レジン液 大容量 474ml/16oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","3","amazon.jp","Amazon","","東京都","164-000","","6,270","627","0","0","0","0","-69","-627","-63","0","-921","-1,365","0","0","3,852"
"2025/03/03 0:23:08 JST","11972502343","注文","250-7704198-1547053","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","北海道","044-000","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/03 1:36:33 JST","11972502343","注文","503-9287855-9854241","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","埼玉県","362-006","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/03 1:49:46 JST","11972502343","注文","250-4915563-0376632","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","大阪府","598-002","","2,255","225","0","0","0","0","-25","0","0","0","-246","-318","0","0","1,891"
"2025/03/03 1:49:46 JST","11972502343","注文","250-4915563-0376632","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","大阪府","598-002","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/03 3:31:20 JST","11972502343","注文","250-8521621-3243053","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","愛知県","458-000","","3,545","354","0","0","0","0","-39","-455","-45","0","-504","-465","0","0","2,391"
"2025/03/03 4:06:02 JST","11972502343","注文","249-8654898-6000618","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","宮城県","981-050","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
"2025/03/03 4:25:26 JST","11972502343","注文外料金","40b0709c-8c20-4d19-a049-cd1997408f9a","","クーポン償還手数料: ¥500の割引 レジン液 2液性 32oz","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/03 4:26:27 JST","11972502343","注文外料金","a4575053-438f-4c1e-a02b-67e91ff3bb51","","クーポン償還手数料: ¥1000の割引 UVレジンランプ 48LEDs","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/03 4:32:28 JST","11972502343","注文外料金","f4fb4a61-d2af-4e7a-a4e8-5eb4b25768a1","","クーポン償還手数料: ¥500の割引 UVレジン 600g","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/03 4:41:24 JST","11972502343","注文外料金","b82c2183-63a6-4251-99df-bf54311d4c2a","","クーポン償還手数料: ¥400の割引 UVレジン 400g","2","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-120","0","-120"
"2025/03/03 5:06:54 JST","11972502343","注文","250-9853607-3371807","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","茨城県","319-110","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
"2025/03/03 5:38:16 JST","11972502343","注文","503-9707348-3014263","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","滋賀県","520-330","","3,545","354","0","0","0","0","-39","-455","-45","0","-504","-465","0","0","2,391"
"2025/03/03 6:28:31 JST","11972502343","注文","250-4067320-3875029","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","東京都","151-007","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
