"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"04.03.2025 22:56:06 UTC","24347707382","Bestellung","302-0490875-5081938","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Klosterneuburg","Niederösterreich","3420","MarketplaceFacilitator","23,94","4,79","0","0","0","0","0","0","-4,79","-3,70","-4,13","0","0","16,11"
"05.03.2025 11:37:03 UTC","24375456662","Bestellung","302-8661624-2038769","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Trier","","54290","MarketplaceFacilitator","12,76","2,43","0","0","0","0","-1,92","-0,36","-2,07","-1,68","-3,51","0","0","5,65"
"05.03.2025 11:40:13 UTC","24375456662","Bestellung","028-1045367-3461155","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","2","amazon.de","Amazon","Berghülen","","89180","MarketplaceFacilitator","47,88","9,10","0","0","0","0","0","0","-9,10","-7,40","-8,26","0","0","32,22"
"05.03.2025 16:03:07 UTC","24375456662","Bestellung","306-8003375-0342717","UV-002","UV Harz 500g, UV Harz klar, Upgrade UV Resin hart, kristallklares Transparent UV Schnellhärtende UV Epoxidharz für Schmuck Herstellung DIY Handwerk","1","amazon.de","Amazon","Wien","","1220","MarketplaceFacilitator","20,16","4,03","0","0","0","0","0","0","-4,03","-3,12","-3,41","0","0","13,63"
"05.03.2025 16:29:46 UTC","24375456662","Bestellung","304-1231956-8119554","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Pelm","","54570","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"05.03.2025 20:37:14 UTC","24375456662","Bestellung","304-1419391-4376353","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Zwickau","Sachsen","08056","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"05.03.2025 21:10:09 UTC","24375456662","Bestellung","306-3729844-1391522","UV-002","UV Harz 500g, UV Harz klar, Upgrade UV Resin hart, kristallklares Transparent UV Schnellhärtende UV Epoxidharz für Schmuck Herstellung DIY Handwerk","1","amazon.de","Amazon","Erfurt","","99089","MarketplaceFacilitator","21,55","4,09","0,84","0,16","0","0","-0,84","-0,16","-8,18","-6,66","-3,41","0","0","7,39"
"05.03.2025 21:10:09 UTC","24375456662","Bestellung","306-3729844-1391522","UV-002","UV Harz 500g, UV Harz klar, Upgrade UV Resin hart, kristallklares Transparent UV Schnellhärtende UV Epoxidharz für Schmuck Herstellung DIY Handwerk","1","amazon.de","Amazon","Erfurt","","99089","","21,55","4,09","0,83","0,16","0","0","-0,83","-0,16","0","0","-3,41","0","0","22,23"
"05.03.2025 21:34:35 UTC","24375456662","Bestellung","302-6252759-4935505","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Gundelsheim","Bayern","96163","MarketplaceFacilitator","10,24","1,95","0,67","0,13","0","0","-2,21","-0,42","-1,66","-1,35","-3,51","0","0","3,84"
"05.03.2025 22:42:38 UTC","24375456662","Übertrag","","","Für Konten mit folgenden Endziffern: 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-107,15","-107,15"
"05.03.2025 23:50:39 UTC","24375456662","Bestellung","302-0236913-7729959","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Chur","Graubünden","70","MarketplaceFacilitator","19,74","1,60","2,16","0,17","0","0","-6,11","-0,49","-1,28","-2,22","-4,13","0","0","9,44"
"06.03.2025 18:42:57 UTC","24375456662","Bestellung","303-4200792-4905945","EPO-110116","EPRESINART Epoxidharz Set Anfänger, 18oz/532ml Ungiftig Epoxidharz Klar Gießharz Set, 1: 1-Verhältnis Epoxy Resin fur Holz, Schmuck Art, Deko Tisch","1","amazon.de","Amazon","Österreich","Steiermark","8345","MarketplaceFacilitator","14,28","2,86","0","0","0","0","0","0","-2,86","-2,21","-3,51","0","0","8,56"
"06.03.2025 18:59:25 UTC","24375456662","Bestellung","304-2767902-9136365","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Berlin","","10179","MarketplaceFacilitator","10,24","1,95","0","0","0","0","-1,54","-0,29","-1,66","-1,35","-3,51","0","0","3,84"
